"id","nom_estab","raz_social","codigo_act","nombre_act","per_ocu","tipo_vial","nom_vial","tipo_v_e_1","nom_v_e_1","tipo_v_e_2","nom_v_e_2","tipo_v_e_3","nom_v_e_3","numero_ext","letra_ext","edificio","edificio_e","numero_int","letra_int","tipo_asent","nomb_asent","tipoCenCom","nom_CenCom","num_local","cod_postal","cve_ent","entidad","cve_mun","municipio","cve_loc","localidad","ageb","manzana","telefono","correoelec","www","tipoUniEco","latitud","longitud","fecha_alta"
"6186029","MAQUINARIA Y CONSTRUCCIONES CAFA, S.A. DE C.V.","MAQUINARIA Y CONSTRUCCIONES CAFA, S.A. DE C.V.","212321","Minería de arena y grava para la construcción","11 a 30 personas","CARRETERA","CARRETERA FEDERAL LIBRE TRAMO AGUASCALIENTES JESÚS GÓMEZ PORTUGAL KILÓMETRO 54","CALLE","NINGUNO","CALLE","NINGUNO","CALLE","NINGUNO","0","SN",,,"0",,,"PLANTA DE ASFALTO UNO",,,,"20980","01","AGUASCALIENTES","005","Jesús María","0015","Cañada el Rodeo","004A","005","4499229222","CAFA@CAFA.COM.MX","WWW.CAFA.COM.MX","Fijo","21.90630822","-102.45627253","MARZO 2011"
"6186016","MATERIALES GERO","MATERIALES GERO  S.A. DE C.V.","212321","Minería de arena y grava para la construcción","11 a 30 personas","AVENIDA","LIBRAMIENTO CALVILLO-JALPA","CALLE","NINGUNO","CALLE","NINGUNO","CALLE","NINGUNO","0","SN",,,"0",,,"CALVILLO",,,,"20000","01","AGUASCALIENTES","003","Calvillo","0001","Calvillo","0153","019","4959563563",,,"Fijo","21.83937726","-102.72405796","DICIEMBRE 2014"
"6186020","MATERIALES PARA LA CONSTRUCCIÓN SIN NOMBRE",,"212321","Minería de arena y grava para la construcción","0 a 5 personas","BOULEVARD","BOULEVARD RODOLFO LANDEROS GALLEGOS","CALLE","NINGUNO","CALLE","NINGUNO","CALLE","NINGUNO","0","SN",,,"0",,,"LOCALIDAD LOS ARCOS",,,,"20000","01","AGUASCALIENTES","003","Calvillo","0383","La Fragua","0064","800","4951081141",,,"Fijo","21.87361111","-102.67416667","JULIO 2010"
"6186028","MATERIALES PUENTE NEGRO DE COSIO, S.A. DE C.V.","MATERIALES PUENTE NEGRO DE COSIO, S.A. DE C.V.","212321","Minería de arena y grava para la construcción","51 a 100 personas","AVENIDA","MORELOS","CALLE","IGNACIO ALLENDE PONIENTE","CALLE","FRANCISCO I. MADERO","CALLE","LIBERTAD","217",,,,"0",,"COLONIA","CENTRO",,,,"20400","01","AGUASCALIENTES","007","Rincón de Romos","0001","Rincón de Romos","0059","021","014659510588","PUENTENEGRO@PRODIGY.NET.MX",,"Fijo","22.23086043","-102.32099578","JULIO 2010"
"6186021","MATERIALES TRITURADOS DE AGUASCALIENTES, S.A. DE C.V.","MATERIALES TRITURADOS DE AGUASCALIENTES, S.A. DE C.V.","212321","Minería de arena y grava para la construcción","11 a 30 personas","CALLE","LIBERTAD","AVENIDA","CONVENCIÓN DE 1914 NORTE","CALLE","MARGIL DE JESÚS","CALLE","ACACIA","1608",,,,"0",,"EXHACIENDA","ARBOLEDAS",,,,"20020","01","AGUASCALIENTES","001","Aguascalientes","0001","Aguascalientes","0290","017","4499147441","MATRASA@AGUASCALIENTES.COM","WWW.MATRASA.COM.MX","Fijo","21.89940035","-102.30102828","JULIO 2010"
"6186026","MINA EL CHISPAZO",,"212319","Minería de otras piedras dimensionadas","0 a 5 personas","CALLE","CALLE FRANCISCO I. MADERO","CALLE","AVENIDA REVOLUCIÓN","CALLE","MARAVILLAS","CALLE","19 DE MARZO","106",,,,"0",,"PARAJE","LOC. TERRERO DE LA LABOR",,,,"20890","01","AGUASCALIENTES","003","Calvillo","0095","El Terrero de la Labor","0026","005","4951012170",,,"Fijo","22.02567265","-102.67212115","JULIO 2010"
"6186025","MINA EL ENCINO",,"212399","Minería de otros minerales no metálicos","6 a 10 personas","CALLE","AVENIDA REVOLUCIÓN","CALLE","NINGUNO","CALLE","NINGUNO","CALLE","NINGUNO","2",,,,"0",,,"LOCALIDAD TERRERO DE LA LABOR",,,,"20890","01","AGUASCALIENTES","003","Calvillo","0095","El Terrero de la Labor","0026","025","4951095519",,,"Fijo","22.0225798","-102.67154925","JULIO 2010"
"6186024","MINA LAS ANGELICAS",,"212399","Minería de otros minerales no metálicos","0 a 5 personas","CALLE","ARTÍCULO 115 DE LA CONSTITUCIÓN","CALLE","ALLENDE","CALLE","NINGUNO","CALLE","ALLENDE","303",,,,"0",,"COLONIA","CENTRO",,,,"20000","01","AGUASCALIENTES","003","Calvillo","0001","Calvillo","0204","037",,,,"Fijo","21.84443334","-102.7181732","DICIEMBRE 2014"
"6186023","MINA LOS MAGUEYES","BEADRY FIRE AGATE VENTURE, S.A. DE C.V.","212399","Minería de otros minerales no metálicos","6 a 10 personas","CARRETERA","CARRETERA A SIERRA FRÍA","CALLE","NINGUNO","CALLE","NINGUNO","CALLE","NINGUNO","0","KILÓMETRO 17",,,"0",,,"LOCALIDAD EL TEMAZCAL",,,,"20830","01","AGUASCALIENTES","003","Calvillo","0090","Temazcal","0030","005","4959026052","BEAUDRYAGS@PRODIGY.NET.MX",,"Fijo","22.00456362","-102.71845158","MARZO 2011"
"6186015","MINERA REAL DE ANGELES, S.A. DE C.V.","MINERA REAL DE ANGELES, S.A. DE C.V.","212222","Minería de plata","251 y más personas","CARRETERA","CARRETERA FEDERAL LIBRE 22 TRAMO TEPEZALA ASIENTOS KILÓMETRO 26","CALLE","NINGUNO","CALLE","NINGUNO","CALLE","NINGUNO","0","SN",,,"0",,,"SANTUARIO DEL TEPOZAN",,,,"20712","01","AGUASCALIENTES","002","Asientos","0253","Santuario del Tepozán","0014","800","4492358206",,,"Fijo","22.22972222","-102.105","JULIO 2010"
"6186018","MINERÍA DE OTRAS PIEDRAS DIMENSIONADAS",,"212319","Minería de otras piedras dimensionadas","6 a 10 personas","CARRETERA","CARRETERA AGUASCALIENTES- VILLA HIDALGO",,"NINGUNO",,"NINGUNO",,"NINGUNO","0","KILÓMETRO 14",,,"0",,"EJIDO","LOC. EJIDO LOS CAÑOS",,,,"20000","01","AGUASCALIENTES","001","Aguascalientes","0907","El Catorce","1941","800","4491003314",,,"Fijo","21.79277778","-102.07555556","DICIEMBRE 2014"
"6186014","OBRAS MINERAS Y TIROS DEL CENTRO SA DE CV","OBRAS MINERAS Y TIROS DEL CENTRO SA DE CV","213119","Otros servicios relacionados con la minería","0 a 5 personas","CALLE","ESTADOS UNIDOS","CALLE","JAPÓN","CALLE","CANADÁ","AVENIDA","SAN FRANCISCO DE LOS ROMO PONIENTE","110",,,,,,"PARQUE INDUSTRIAL","PARQUE INDUSTRIAL SAN FRANCISCO IV ETAPA","PARQUE INDUSTRIAL","PARQUE INDUSTRIAL SAN FRANCISCO IV ETAPA","110","20304","01","AGUASCALIENTES","011","San Francisco de los Romo","0035","Granja María","009A","800",,,,"Fijo","22.03690164","-102.27489229","JULIO 2010"
"6186017","PAVIMENTOS Y CONSTRUCCIONES DE AGUASCALIENTES, S.A. DE C.V.","PAVIMENTOS Y CONSTRUCCIONES DE AGUASCALIENTES  S.A. DE C.V.","212321","Minería de arena y grava para la construcción","31 a 50 personas","CALLE","GENERAL MIGUEL BARRAGÁN","CALLE","ALFREDO LEWIS","CALLE","DOCTOR CARLOS M LÓPEZ","CALLE","ISIDRO CALERA","1507","A",,,"0",,"COLONIA","GREMIAL",,,,"20030","01","AGUASCALIENTES","001","Aguascalientes","0001","Aguascalientes","0375","016","4491461821","PAVYCONSA@YAHOO.COM.MX",,"Fijo","21.8993115","-102.29225308","JULIO 2010"
"6186022","SACROSA TRITURADOS DE AGUASCALIENTES","SACROSA TRITURADOS DE AGUASCALIENTES","212321","Minería de arena y grava para la construcción","11 a 30 personas","CALLE","PONCIANO ARRIAGA","CALLE","FRAY SERVANDO TERESA DE MIER","CALLE","FRANCISCO I. MADERO","CALLE","GUILLERMO PRIETO","204",,,,"0",,,"PABELLÓN DE HIDALGO RINCÓN",,,,"20665","01","AGUASCALIENTES","006","Pabellón de Arteaga","0249","San Agustín de los Puentes","0047","002","14659949204","SACROSA@HOTMAIL.COM",,"Fijo","22.11069175","-102.31376615","JULIO 2010"
"6711615","TIIPSA","TIIPSA, S. DE R.L. DE C.V.","212321","Minería de arena y grava para la construcción","6 a 10 personas","CALLE","JOSÉ BARBA ALONSO","CALLE","ANSELMO LÓPEZ ARÁMBULA","AVENIDA","JULIO DÍAZ TORRE C-26N","CALLE","ROBERTO DÍAZ RODRÍGUEZ","204","0",,,,,"FRACCIONAMIENTO","CIUDAD INDUSTRIAL","PARQUE INDUSTRIAL","CIUDAD INDUSTRIAL","204","20290","01","AGUASCALIENTES","001","Aguascalientes","0001","Aguascalientes","1477","009","014493001139","DAVID.GONZALEZ@TIIPSA.COM.MX",,"Fijo","21.83311988","-102.28201673","ENERO 2016"
"6186027","TRITURADOS ESPECIALIZADOS J.M. SRLMI., C.V.",,"212321","Minería de arena y grava para la construcción","0 a 5 personas","BOULEVARD","LIBRAMIENTO CALVILLO-JALPA","CALLE","NINGUNO","CALLE","NINGUNO","CALLE","NINGUNO","0","KILÓMETRO 3.8",,,"0",,,"CALVILLO",,,,"20000","01","AGUASCALIENTES","003","Calvillo","0001","Calvillo","0153","014",,,,"Fijo","21.84123741","-102.73509206","MARZO 2011"
"6189265","TRITURADOS Y PREMEZCLADOS DE AGS, S.A. DE C.V.","TRITURADOS Y PREMEZCLADOS DE AGUASCALIENTES  S.A. DE C.V.","212321","Minería de arena y grava para la construcción","11 a 30 personas","BOULEVARD","BOULEVARD A JOSÉ MARÍA CHÁVEZ",,,,,,,"2210",,,,"0",,,"CIUDAD INDUSTRIAL","CIUDAD INDUSTRIAL","SIN NOMBRE","SN","20290","01","AGUASCALIENTES","001","Aguascalientes","0001","Aguascalientes","1477","013",,"TRIPRESA@YAHOO.COM.MX",,"Fijo","21.832131","-102.288305","DICIEMBRE 2014"
"6186019","TRITURADOS Y PREMEZCLADOS DE AGUASCALIENTES  S.A. DE C.V.","TRITURADOS Y PREMESCLADOS DE AGUASCALIENTES, S.A. DE C.V.","212321","Minería de arena y grava para la construcción","11 a 30 personas","CARRETERA","CARRETERA TEPEZALA-ASIENTOS","CALLE","PEDRO VAGA KEGEL","AVENIDA","ROBERTO DÍAZ RODRÍGUEZ","CALLE","JOSÉ MARÍA ROMO","2210","SN",,,"0",,"COTO","EJIDO TEPEZALA",,,,"20000","01","AGUASCALIENTES","001","Aguascalientes","7215","Localidad económica","1250","800","4499710824","TRIPRESA@YAHOO.COM.MX",,"Fijo","21.68635965","-102.23723636","DICIEMBRE 2014"
"6186035","AGREGADOS Y CONSTRUCCIONES DEL PACIFICO, S.A. DE C.V.","AGREGADOS Y CONSTRUCCIONES DEL PACIFICO, S.A. DE C.V.","212321","Minería de arena y grava para la construcción","0 a 5 personas","ANDADOR","ANDADOR VECINAL","BOULEVARD","2000","CARRETERA","CARRETERA LIBRE A TECATE",,"NINGUNO","21837",,,,"0",,"COLONIA","EL REALITO DELEGACIÓN LA PRESA",,,,"22250","02","BAJA CALIFORNIA","004","Tijuana","1949","El Realito","2166","800","6646450201","AQRCONST@PRODIGY.NET",,"Fijo","32.44388889","-116.87444444","JULIO 2010"
"6694029","ARENAS PROCESADAS DE MEXICALI","ARENAS PROCESADAS DE MEXICALI","212321","Minería de arena y grava para la construcción","0 a 5 personas",,"EJIDO HERIBERTO JARA",,"NINGUNO","OTRA (ESPECIFICAR)","NINGUNO","OTRA (ESPECIFICAR)","NINGUNO",,"KILÓMETRO 53",,,,,"COTO","HERIBERTO JARA",,,,"21360","02","BAJA CALIFORNIA","002","Mexicali","2887","Calizas [Industrias]","3437","800","16865624858","DIRECTIVOS@GRUPOLOTIFICADORA.COM",,"Fijo","32.52671005","-115.59472244","ENERO 2016"
"6186061","ARROYO AMARGO, S.P.R. DE RL",,"212321","Minería de arena y grava para la construcción","6 a 10 personas","CARRETERA","TRANSPENINSULAR","CALLE","LOS PESCADORES","CALLE","NINGUNO","CALLE","MEDUSAS","27",,,,"0",,"EJIDO","VALLE TRANQUILO",,,,"22960","02","BAJA CALIFORNIA","001","Ensenada","1946","Ejido Valle Tranquilo","7076","008","6161010046","ALAYNRANGEL@HOTMAIL.COM",,"Fijo","30.29043928","-115.80244856","JULIO 2010"
